OBJ_ORG,OBJ_MRC,OBJ_UDFCHAR15,OBJ_OBTYPE,OBJ_CLASS,ORG_UDFCHKBOX01,OBJ_NOTUSED
FRANKE,CH0080,CH0080,L,SITE,-,-
MOATIZE,MO0012,MO0012,L,SITE,-,-
MOATIZE,MO0011,MO0011,L,SITE,-,-
DOFASCO,CA8361,CA8361,L,SITE,-,-
ROSEBEL,SU0010,SU0010,L,SITE,-,-
OLYMPIC DAM,AU0420,AU0420,L,SITE,-,-
WATERFORD,CA8362,CA8362,L,SITE,-,-
WATERFORD,CA8363,CA8363,L,SITE,-,-
PEÑASQUITO,ME0180,ME0180,L,SITE,-,-
BLACK ROCK,SA0340,SA0340,L,SITE,-,-
BLACK ROCK,SA0341,SA0341,L,SITE,-,-
BLACK ROCK,SA0342,SA0342,L,SITE,-,-
BLACK ROCK,SA0343,SA0343,L,SITE,-,-
MOPANI,ZA0061,ZA0061,L,SITE,-,-
MOPANI,ZA0062,ZA0062,L,SITE,-,-
MOPANI,ZA0063,ZA0063,L,SITE,-,-
MOPANI,ZA0064,ZA0064,L,SITE,-,-
MOPANI,ZA0065,ZA0065,L,SITE,-,-
MOPANI,ZA0060,ZA0060,L,SITE,-,-
WALKER BROTHERS,CA8364,CA836400,L,SITE,-,-
BLACK ROCK,SA0344,SA0344,L,SITE,-,-
MOUNT ISA,AU0530,AU0530,L,SITE,-,-
LEEUWPAN,SA0451,SA0451,L,SITE,-,-
LEEUWPAN,SA0453,SA0453,L,SITE,-,-
POGO,AU0540,AU0540,L,SITE,-,-
REDPATH MINING,ZM0041,ZA0041,L,SITE,-,-
SYAMA,MA010000,MA010000,L,SITE,-,-
TILLICOULTRY,UK130100,UK130100,L,SITE,-,-
TILLICOULTRY,UK130101,UK130101,L,SITE,-,-
TILLICOULTRY,UK130102,UK130102,L,SITE,-,-
TILLICOULTRY,UK130103,UK130103,L,SITE,-,-
TILLICOULTRY,UK130104,UK130104,L,SITE,-,-
TILLICOULTRY,UK130105,UK130105,L,SITE,-,-
TILLICOULTRY,UK130106,UK130106,L,SITE,-,-
TILLICOULTRY,UK130107,UK130107,L,SITE,-,-
TILLICOULTRY,UK130108,UK130108,L,SITE,-,-
TILLICOULTRY,UK130109,UK130109,L,SITE,-,-
TILLICOULTRY,UK130110,UK130110,L,SITE,-,-
TILLICOULTRY,UK130111,UK130111,L,SITE,-,-
TILLICOULTRY,UK130112,UK130112,L,SITE,-,-
TILLICOULTRY,UK130113,UK130113,L,SITE,-,-
TILLICOULTRY,UK130114,UK130114,L,SITE,-,-
MOUNT ISA,AU0531,AU0531,L,SITE,-,-
SUBIKA,GH120000,GH120000,L,SITE,-,-
MUNALI,ZM000071,ZA0071,L,SITE,-,-
CHIRANO,GH0080,GH0080,L,SITE,-,-
DP WORLD CANADA,CA0381,CA0831,L,SITE,-,-
EL ROBLE,ME0370,ME0370,L,SITE,-,-
MIDDLEMOUNT,AU0550,AU0550,L,SITE,-,-
NORTHERN STAR,AU0580,AU0580,L,SITE,-,-
NORTHERN STAR,AU0590,AU0590,L,SITE,-,-
NORTHERN STAR,AU0570,AU0570,L,SITE,-,-
NORTHERN STAR,AU0560,AU0560,L,SITE,-,-
CHIRANO,GH0081,GH0081,L,SITE,-,-
ANTUCOYA,CH0240,CH0240,L,SITE,-,-
CHEPSTOW PLANT,UK460101,UK460101,L,SITE,-,-
WONDERFONTEIN,SA0500,SA0500,L,SITE,-,-
STYLDRIFT,SA0190,SA0190,L,SITE,-,-
WALKER BROTHERS,CA836401,CA836401,L,SITE,-,-
WALKER BROTHERS,CA836402,CA836402,L,SITE,-,-
WALKER BROTHERS,CA836403,CA836403,L,SITE,-,-
WALKER BROTHERS,CA836404,CA836404,L,SITE,-,-
WALKER BROTHERS,CA836405,CA836405,L,SITE,-,-
WALKER BROTHERS,CA836406,CA836406,L,SITE,-,-
WALKER BROTHERS,CA836408,CA836408,L,SITE,-,-
WALKER BROTHERS,CA836409,CA836409,L,SITE,-,-
WALKER BROTHERS,CA836410,CA836410,L,SITE,-,-
WALKER BROTHERS,CA836411,CA836411,L,SITE,-,-
WALKER BROTHERS,CA836412,CA836412,L,SITE,-,-
WALKER BROTHERS,CA836413,CA836413,L,SITE,-,-
